"Title","Description","ID","Owner","Created Date","Updated Date","Date","Year","Category","Image"
"SRP-HPC'23","<p class=""font_8"">We have received DOE's SRP-HPC fund again this year, which will allow faculty-led (that's me) research team of 4 students (2 Ph.D.s, 1 M.S. and 1 undergrad) to visit Brookhaven lab in the summer.</p>","a3114609-0057-4c86-9b08-6e6667aa5a52","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2023-05-04T03:34:42Z,2023-09-09T16:39:29Z,"April 23",2023-04-14T17:00:00Z,"Research",
"🔬ACM REP","<p class=""font_8"">Our paper titled ""Reproducibility for HPC and Distributed Environments: Committees, Nondeterminism, Performance and Workflows"" was published at ACM REP and is now available in the ACM Digital Library.</p>","a5850f60-04f1-4c03-9b56-6a8ffb5d2dc4","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2025-10-22T14:30:04Z,2025-10-22T14:31:05Z,"Oct 2025",2025-10-22T17:00:00Z,"paper",
"AMD Equipment Grant","<p class=""font_8"">AMD has granted $100K worth of on-prem and Cloud HPC resources to TXST for COVID-19 related research. Read here:&nbsp;https://www.amd.com/en/corporate/hpc-fund</p>","a818d31d-71e7-452a-b3ff-84bb4e6072e7","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2021-03-26T21:25:12Z,"Nov 2020",2020-11-01T05:00:00Z,"Award","wix:image://v1/c8381ce0e7a94ad09ceaada2fc64081d.jpg/c8381ce0e7a94ad09ceaada2fc64081d.jpg#originWidth=1920&originHeight=1276"
"BDCAA","<p class=""font_8"">I am organizing the first workshop on how different application domains generate and analyze big data by leveraging HPC. The workshop (<u>BDCAA</u>)&nbsp;will be organized in conjunction with the IEEE COMPSAC'19 in Mulwaukee.&nbsp;</p>","aaca4810-6f56-4820-9b97-d2792ffc4cb3","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2021-03-26T21:17:13Z,"Feb 2019",2019-02-01T06:00:00Z,"Service","wix:image://v1/c8381ce0e7a94ad09ceaada2fc64081d.jpg/c8381ce0e7a94ad09ceaada2fc64081d.jpg#originWidth=1920&originHeight=1276"
"🔬COMPSAC'22","<p class=""font_8"">Our paper ""libNVCD: An Extendable and User-friendly Multi-GPU Performance Measurement Tool"" has been accepted at IEEE COMPSAC'22 (acceptance rate: 23%)!</p>","ab1adcf8-1d0d-421c-a8e6-be602c2f55ea","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2022-04-04T15:19:03Z,2025-08-21T05:41:01Z,"April 2022",2022-04-01T05:00:00Z,"Paper",
"💰 AMD Gift","<p class=""font_8"">Thank you, AMD for continuing to support research on AI/ML-driven performance analytics!</p>","af79b2d8-cec8-4a88-b23e-f2e78d44a792","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2024-05-13T13:03:32Z,2025-08-21T05:36:04Z,"Jan 2024",2024-01-01T18:00:00Z,"Grant",
"GHC","<p class=""font_8"">Super excited to be a part of the Computer Systems Engineering (CSE) track at GHC 2019. About time women working in computer&nbsp;systems meet!</p>","b095328d-e21e-4a9a-b0f5-d8067de76597","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2021-03-26T21:17:17Z,"Feb 2019",2019-02-01T06:00:00Z,"Service","wix:image://v1/c8381ce0e7a94ad09ceaada2fc64081d.jpg/c8381ce0e7a94ad09ceaada2fc64081d.jpg#originWidth=1920&originHeight=1276"
"🎤 EuroPar'25","<p class=""font_8"">Honored to give an invited talk at EuroPar's Women in HPC session on bridging key gaps in performance-aware code development.</p>","b76ddb24-85af-4842-99cb-91f500d68fdd","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2025-09-01T03:52:05Z,2025-09-01T03:52:05Z,"Aug 2025",2025-08-26T17:00:00Z,"Papers",
"SRP-HPC","<p class=""font_8"">I have received DOE's SRP-HPC fellowship and will be conducting research over the summer as a visiting scholar at Brookhaven National Laboratory. My students--Chase Phelps, Arunavo Dey, and Alicia Guite (sophomore) will also join me.</p>","bde26058-6897-407c-9b21-e24836ad8efc","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2022-05-06T18:41:36Z,2022-05-06T18:41:36Z,"June 2022",2022-06-06T05:00:00Z,"Research",
"Best poster'14","<p class=""font_8"">Our poster titled ""<strong>Lossy Compression for Checkpointing: Fallible or Feasible?</strong>"" received the Best Poster Award in the 2014 Computation Directorate's scholar poster symposium.</p>","be930f7c-6090-4283-9984-5135e986d1a7","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:23:46Z,"Aug 2014",2014-08-26T05:00:00Z,"Paper",
"SC'22","<p class=""font_8"">I am chairing the Performance measurement, modeling, and analysis track at SC this year. Excited and honored!</p>","bf7155ab-1550-47a5-a3ef-b67e4874ee8a","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2022-04-21T14:32:45Z,2022-04-21T14:32:45Z,"Feb 2022",2022-02-01T06:00:00Z,"Service",
"Interns","<p class=""font_8"">Several of my students are interning at research labs such as LLNL, PNNL. Happy summer!</p>","c424a07b-686e-4565-b469-67a244e12c98","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:16:27Z,"June 2018",2018-06-11T05:00:00Z,"Others",
"Summer Internships","<p class=""font_8"">Congratulations to Chase Phelps and Tarek Ramadan for securing internships at LLNL and LBNL, respectively!</p>","c4ed62ee-5fc8-491a-9df5-0eb50944294c","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-04-30T15:37:53Z,2021-04-30T18:46:55Z,"May 2021",2021-05-17T05:00:00Z,"Others",
